date,cumulative_etf_flow
2022-07-12,12596329761.005981
2022-07-13,12486818683.873598
2022-07-14,12836959031.294857
2022-07-15,13219563849.931927
2022-07-16,13281533069.812551
2022-07-17,13507163182.637156
2022-07-18,13870232736.940323
2022-07-19,14309706600.821882
2022-07-20,15008339676.908749
2022-07-21,14602571404.462784
2022-07-22,14739225740.046858
2022-07-23,14337957898.325514
2022-07-24,14411489220.536861
2022-07-25,13999768909.260582
2022-07-26,13402859958.32156
2022-07-27,13761956483.515963
2022-07-28,14837555898.462543
2022-07-29,15215863534.208143
2022-07-30,15312983315.021421
2022-07-31,15111927982.819702
2022-08-01,14770240657.094784
2022-08-02,14612861350.304886
2022-08-03,14740093710.310978
2022-08-04,14537428656.103792
2022-08-05,14660336996.431623
2022-08-06,14746970313.87304
2022-08-07,14672765134.312756
2022-08-08,15120623862.735655
2022-08-09,14918341646.243294
2022-08-10,14871110290.689365
2022-08-11,15493619678.322742
2022-08-12,15254993542.816053
2022-08-13,15592066735.515926
2022-08-14,15587793773.728378
2022-08-15,15437863886.907026
2022-08-16,15243403357.962383
2022-08-17,15079816616.464981
2022-08-18,14889551844.146685
2022-08-19,13930376202.65513
2022-08-20,13465626394.08325
2022-08-21,13585149508.165956
2022-08-22,13533418694.991402
2022-08-23,13596350562.43107
2022-08-24,13644465493.891369
2022-08-25,13729797095.675718
2022-08-26,13483746146.041946
2022-08-27,12808261328.468191
2022-08-28,12720731905.982016
2022-08-29,12697639825.34054
2022-08-30,12806485225.41683
2022-08-31,12837408403.90649
2022-09-01,12666539052.275463
2022-09-02,12751731150.065203
2022-09-03,12598960610.30274
2022-09-04,12569552857.520678
2022-09-05,12559729230.692686
2022-09-06,12455613228.575401
2022-09-07,11989953652.193708
2022-09-08,12213158317.50524
2022-09-09,13112136618.702368
2022-09-10,13558187372.31575
2022-09-11,13702961365.318527
2022-09-12,14029944441.904905
2022-09-13,13688534061.710503
2022-09-14,12833815690.559088
2022-09-15,12694050243.227808
2022-09-16,12506376999.682587
2022-09-17,12652085008.914574
2022-09-18,12621432553.931583
2022-09-19,12069999915.86011
2022-09-20,12184539450.552929
2022-09-21,12083868941.773752
2022-09-22,12033628468.47196
2022-09-23,12097530547.270782
2022-09-24,12111429391.955488
2022-09-25,12049849540.383463
2022-09-26,12063318095.250683
2022-09-27,12526611308.934462
2022-09-28,12120868002.272095
2022-09-29,12311696189.959673
2022-09-30,12384507447.870934
2022-10-01,12243227842.230757
2022-10-02,12185077259.785774
2022-10-03,12226113760.633009
2022-10-04,12621730838.93953
2022-10-05,12752425650.249954
2022-10-06,12776136661.345488
2022-10-07,12524846199.08749
2022-10-08,12348059023.333874
2022-10-09,12315510020.547392
2022-10-10,12245156793.703169
2022-10-11,12082320097.719526
2022-10-12,12106437234.299282
2022-10-13,12053459514.851536
2022-10-14,12368147969.433676
2022-10-15,12124387968.511082
2022-10-16,12135417119.308056
2022-10-17,12280717359.076208
2022-10-18,12338976304.701517
2022-10-19,12176503364.447449
2022-10-20,12112722617.423033
2022-10-21,12073070514.87316
2022-10-22,12141928129.732582
2022-10-23,12190513267.756186
2022-10-24,12260817199.878353
2022-10-25,12397722716.807644
2022-10-26,12991233513.191912
2022-10-27,13064250979.822983
2022-10-28,12904928330.92246
2022-10-29,13149923357.120876
2022-10-30,13118138864.298187
2022-10-31,12985843649.521662
